# mapping_set_id: https://w3id.org/lmodel/iso42001/mappings/iso42001_to_nist_ai_rmf__nist_ai_100_1
# mapping_set_version: 0.1.0
# mapping_set_title: ISO/IEC 42001:2023 to NIST AI RMF (nist_ai_100_1 component) Schema Mappings
# mapping_set_description: Schema-level mappings between the ISO/IEC 42001:2023 (AI Management System) LinkML schema and the NIST AI RMF umbrella schema, narrowed to the NIST AI 100-1 (AI RMF 1.0 core framework) child schema. Mapping rows are identical to those in iso42001-to-nist-ai-100-1.sssom.tsv but framed from the umbrella RMF perspective; consumers integrating against the merged nist-ai-rmf schema should prefer this set.
# license: https://creativecommons.org/licenses/by/4.0/
# subject_source: https://w3id.org/lmodel/iso42001
# object_source: https://w3id.org/lmodel/nist-ai-rmf
# mapping_date: 2026-06-01
# curie_map:
#   iso42001: https://w3id.org/lmodel/iso42001/
#   nist_ai_100_1: https://w3id.org/lmodel/nist-ai-100-1/
#   nist_ai_rmf: https://w3id.org/lmodel/nist-ai-rmf/
#   owl: http://www.w3.org/2002/07/owl#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
subject_id	subject_label	subject_category	predicate_id	predicate_label	object_id	object_label	object_category	mapping_justification	comment
iso42001:AIManagementSystem	AIManagementSystem	owl:Class	skos:closeMatch	close match	nist_ai_100_1:AiRmfFramework	AiRmfFramework	owl:Class	semapv:LLMBasedMatching	Both are the root container for an organisation's AI governance programme; ISO 42001 is certifiable while NIST AI RMF is voluntary guidance
iso42001:AISystem	AISystem	owl:Class	skos:exactMatch	exact match	nist_ai_100_1:AiSystem	AiSystem	owl:Class	semapv:LLMBasedMatching	Same concept: the engineered AI system that is the subject of governance and risk management
iso42001:AIRisk	AIRisk	owl:Class	skos:closeMatch	close match	nist_ai_100_1:Risk	Risk	owl:Class	semapv:LLMBasedMatching	AIRisk is the ISO 42001 AI-specific risk; NIST AI 100-1 Risk is the parallel concept with likelihood/impact and explicit AI-context
iso42001:AIRisk	AIRisk	owl:Class	skos:narrowMatch	narrow match	nist_ai_100_1:AiSpecificRisk	AiSpecificRisk	owl:Class	semapv:LLMBasedMatching	AIRisk is also a narrower match for AiSpecificRisk which highlights AI-only risk drivers (data drift, model opacity, automation bias)
iso42001:AIRiskTreatmentPlan	AIRiskTreatmentPlan	owl:Class	skos:relatedMatch	related match	nist_ai_100_1:RiskTolerance	RiskTolerance	owl:Class	semapv:LLMBasedMatching	Risk-treatment plan operationalises the organisation's risk tolerance posture; related but not equivalent (treatment vs tolerance threshold)
iso42001:AIRiskAssessmentProcess	AIRiskAssessmentProcess	owl:Class	skos:closeMatch	close match	nist_ai_100_1:Function	Function	owl:Class	semapv:LLMBasedMatching	The ISO 42001 risk-assessment process aligns most closely with the NIST RMF MAP and MEASURE Functions taken together
iso42001:AISystemImpactAssessment	AISystemImpactAssessment	owl:Class	skos:closeMatch	close match	nist_ai_100_1:Impact	Impact	owl:Class	semapv:LLMBasedMatching	AI-system impact assessment captures the impacts modelled by NIST's Impact class (sign, severity, affected population)
iso42001:AIIncident	AIIncident	owl:Class	skos:closeMatch	close match	nist_ai_100_1:Harm	Harm	owl:Class	semapv:LLMBasedMatching	Recorded harms in NIST AI RMF correspond to materialised AI incidents in ISO 42001
iso42001:ConcernReport	ConcernReport	owl:Class	skos:relatedMatch	related match	nist_ai_100_1:Harm	Harm	owl:Class	semapv:LLMBasedMatching	A concern report often anticipates or surfaces a harm to people, organisations or ecosystems
iso42001:Organization	Organization	owl:Class	skos:closeMatch	close match	nist_ai_100_1:AiActor	AiActor	owl:Class	semapv:LLMBasedMatching	The organisation is one of the AI actors in NIST's lifecycle taxonomy
iso42001:Role	Role	owl:Class	skos:closeMatch	close match	nist_ai_100_1:AiActorTask	AiActorTask	owl:Class	semapv:LLMBasedMatching	Roles in ISO 42001 group accountabilities that NIST organises as actor-task assignments
iso42001:InterestedParty	InterestedParty	owl:Class	skos:closeMatch	close match	nist_ai_100_1:AiActor	AiActor	owl:Class	semapv:LLMBasedMatching	Interested parties (including end users, affected communities, third parties) are NIST AI actors
iso42001:AIReferenceControl	AIReferenceControl	owl:Class	skos:closeMatch	close match	nist_ai_100_1:Subcategory	Subcategory	owl:Class	semapv:LLMBasedMatching	ISO 42001 Annex A controls and NIST RMF Subcategories both express granular, actionable expectations
iso42001:DocumentedInformation	DocumentedInformation	owl:Class	skos:closeMatch	close match	nist_ai_100_1:PlaybookEntry	PlaybookEntry	owl:Class	semapv:LLMBasedMatching	Documented information artefacts include the kind of guidance NIST publishes per Subcategory in its Playbook
iso42001:AISystemLifecycleStage	AISystemLifecycleStage	owl:Class	skos:closeMatch	close match	nist_ai_100_1:AiLifecycleStageEnum	AiLifecycleStageEnum	owl:Class	semapv:LLMBasedMatching	Both enumerations describe AI-system lifecycle stages; granularity and naming differ but coverage is parallel
iso42001:inception	inception	skos:Concept	skos:closeMatch	close match	nist_ai_100_1:PLAN_AND_DESIGN	PLAN_AND_DESIGN	skos:Concept	semapv:LLMBasedMatching	ISO 42001 inception aligns with NIST plan-and-design stage
iso42001:design	design	skos:Concept	skos:exactMatch	exact match	nist_ai_100_1:PLAN_AND_DESIGN	PLAN_AND_DESIGN	skos:Concept	semapv:LLMBasedMatching	Design stage is captured in NIST's combined plan-and-design
iso42001:data_collection_and_preparation	data_collection_and_preparation	skos:Concept	skos:exactMatch	exact match	nist_ai_100_1:COLLECT_AND_PROCESS_DATA	COLLECT_AND_PROCESS_DATA	skos:Concept	semapv:LLMBasedMatching	Direct equivalent
iso42001:development	development	skos:Concept	skos:exactMatch	exact match	nist_ai_100_1:BUILD_AND_USE_MODEL	BUILD_AND_USE_MODEL	skos:Concept	semapv:LLMBasedMatching	ISO development stage corresponds to NIST build-and-use-model
iso42001:verification_and_validation	verification_and_validation	skos:Concept	skos:exactMatch	exact match	nist_ai_100_1:VERIFY_AND_VALIDATE	VERIFY_AND_VALIDATE	skos:Concept	semapv:LLMBasedMatching	Direct equivalent
iso42001:deployment	deployment	skos:Concept	skos:exactMatch	exact match	nist_ai_100_1:DEPLOY_AND_USE	DEPLOY_AND_USE	skos:Concept	semapv:LLMBasedMatching	Direct equivalent
iso42001:operation_and_monitoring	operation_and_monitoring	skos:Concept	skos:exactMatch	exact match	nist_ai_100_1:OPERATE_AND_MONITOR	OPERATE_AND_MONITOR	skos:Concept	semapv:LLMBasedMatching	Direct equivalent
iso42001:continuous_validation	continuous_validation	skos:Concept	skos:closeMatch	close match	nist_ai_100_1:OPERATE_AND_MONITOR	OPERATE_AND_MONITOR	skos:Concept	semapv:LLMBasedMatching	Continuous validation is part of NIST's operate-and-monitor stage
iso42001:re_evaluation	re_evaluation	skos:Concept	skos:closeMatch	close match	nist_ai_100_1:OPERATE_AND_MONITOR	OPERATE_AND_MONITOR	skos:Concept	semapv:LLMBasedMatching	Re-evaluation is folded into NIST operate-and-monitor
iso42001:decommissioning	decommissioning	skos:Concept	skos:relatedMatch	related match	nist_ai_100_1:OPERATE_AND_MONITOR	OPERATE_AND_MONITOR	skos:Concept	semapv:LLMBasedMatching	NIST AI 100-1 does not break out a dedicated decommissioning stage; related to end-of-life within operate-and-monitor
iso42001:AIOrganizationalRole	AIOrganizationalRole	owl:Class	skos:closeMatch	close match	nist_ai_100_1:AiActorTaskEnum	AiActorTaskEnum	owl:Class	semapv:LLMBasedMatching	Both enumerations partition AI ecosystem actors; ISO uses producer/customer/partner roles, NIST uses lifecycle-task actors
iso42001:ai_provider	ai_provider	skos:Concept	skos:closeMatch	close match	nist_ai_100_1:AI_DEVELOPMENT	AI_DEVELOPMENT	skos:Concept	semapv:LLMBasedMatching	The provider supplies the AI system; closest NIST actor-task is development
iso42001:ai_producer	ai_producer	skos:Concept	skos:closeMatch	close match	nist_ai_100_1:AI_DESIGN	AI_DESIGN	skos:Concept	semapv:LLMBasedMatching	Producer designs and builds; aligns with AI design actor task
iso42001:ai_customer	ai_customer	skos:Concept	skos:closeMatch	close match	nist_ai_100_1:END_USERS	END_USERS	skos:Concept	semapv:LLMBasedMatching	Customer aligns with NIST end-users actor category
iso42001:ai_partner	ai_partner	skos:Concept	skos:closeMatch	close match	nist_ai_100_1:THIRD_PARTY_ENTITIES	THIRD_PARTY_ENTITIES	skos:Concept	semapv:LLMBasedMatching	Partner aligns with third-party entities
iso42001:ai_subject	ai_subject	skos:Concept	skos:closeMatch	close match	nist_ai_100_1:AFFECTED_INDIVIDUALS_OR_COMMUNITIES	AFFECTED_INDIVIDUALS_OR_COMMUNITIES	skos:Concept	semapv:LLMBasedMatching	AI subjects are individuals or groups affected by the system's decisions
